Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
261523809.5,4.768035134,13.80218954,-8.793241217
262285714.3,4.063261747,14.53223099,-7.910951846
263047619,3.198709091,15.42197841,-7.193804027
263809523.8,2.339571622,16.30623778,-6.832350706
264571428.6,1.81816921,16.85268964,-7.022332715
265333333.3,1.811206289,16.88462997,-7.851954516
266095238.1,2.328754824,16.39198723,-9.349855943
266857142.9,3.163416513,15.58216012,-11.42326262
267619047.6,3.954015423,14.81632499,-12.9785246
268380952.4,4.559832323,14.23520147,-14.00187886
269142857.1,4.943110197,13.87654697,-14.56689087
269904761.9,5.154743801,13.68946714,-14.93254183
270666666.7,5.239953087,13.6287424,-15.23340957
271428571.4,5.261134068,13.63197715,-15.38694966
272190476.2,5.291841884,13.62561662,-15.39664815
272952381,5.389337607,13.55240013,-15.29699191
273714285.7,5.560016342,13.40593295,-15.05157096
274476190.5,5.759312101,13.23078145,-14.78283231
275238095.2,5.903684285,13.11048659,-14.51677042
276000000,5.942263001,13.09591864,-14.27454947
276761904.8,5.90046876,13.16165746,-14.18726987
277523809.5,5.879358582,13.20664639,-14.205697
278285714.3,5.98232843,13.12748982,-14.35554959
279047619,6.212836041,12.92073038,-14.64495284
279809523.8,6.484449748,12.6728001,-14.9431924
280571428.6,6.676512757,12.50435611,-15.42367137
281333333.3,6.723891166,12.48053267,-16.06122609
282095238.1,6.638886924,12.58902818,-16.83284874
282857142.9,6.479069717,12.77227329,-17.67598325
283619047.6,6.33655426,12.93815363,-18.64520762
284380952.4,6.26506467,13.03294542,-19.58221091
285142857.1,6.286826876,13.03442306,-20.41310634
285904761.9,6.367654547,12.97677323,-21.04991556
286666666.7,6.462902928,12.904641,-21.74056184
287428571.4,6.541044418,12.84955431,-22.37460528
288190476.2,6.602984122,12.81060837,-23.03728769
288952381,6.66791901,12.76860654,-23.93590591
289714285.7,6.742736343,12.71666187,-25.1240591
290476190.5,6.805338746,12.67687206,-26.24839012
291238095.2,6.826557766,12.67840587,-27.34514445
292000000,6.780569296,12.74708773,-28.49095439
292761904.8,6.670185504,12.88010578,-29.7702433
293523809.5,6.499708842,13.07315786,-31.34229001
294285714.3,6.304770071,13.29061354,-32.98784592
295047619,6.128893078,13.48894921,-34.35647777
295809523.8,6.028622733,13.61162031,-33.06031179
296571428.6,6.021475129,13.64111105,-30.37972278
297333333.3,6.094675639,13.59019635,-27.37290111
298095238.1,6.202066936,13.50503383,-24.62940488
298857142.9,6.303090978,13.42618183,-22.5120115
299619047.6,6.365624705,13.38576368,-20.73782401
300380952.4,6.374532413,13.39891539,-19.2474091
301142857.1,6.309749283,13.48570205,-18.01213707
